I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
107, 248, 141, -178, -17, 195, 146, 473, 483, 478, 395, 287, 
102, 248, 146, -175, -21, 197, 141, 448, 468, 463, 385, 283, 
102, 239, 136, -170, -17, 187, 136, 429, 453, 444, 370, 273, 
102, 229, 126, -165, -12, 178, 131, 414, 448, 424, 361, 258, 
92, 219, 126, -156, -17, 173, 117, 400, 429, 414, 346, 244, 
87, 204, 117, -146, -14, 161, 112, 375, 409, 390, 326, 234, 
87, 204, 117, -146, -14, 161, 107, 356, 385, 366, 302, 219, 
82, 195, 112, -139, -14, 153, 97, 341, 361, 346, 292, 209, 
73, 175, 102, -124, -14, 139, 87, 322, 351, 326, 283, 195, 
68, 156, 87, -112, -9, 122, 92, 297, 331, 312, 268, 175, 
63, 141, 78, -102, -7, 109, 97, 283, 312, 283, 248, 161, 
58, 131, 73, -95, -7, 102, 92, 268, 297, 268, 229, 151, 
53, 126, 73, -90, -9, 100, 82, 248, 278, 253, 209, 141, 
43, 102, 58, -73, -7, 80, 73, 224, 258, 234, 195, 126, 
39, 82, 43, -61, -2, 63, 73, 200, 239, 209, 185, 117, 
39, 78, 39, -58, 0, 58, 63, 180, 214, 190, 165, 102, 
34, 68, 34, -51, 0, 51, 48, 170, 200, 175, 151, 92, 
29, 53, 24, -41, 2, 39, 58, 161, 190, 161, 136, 82, 
24, 34, 9, -29, 7, 21, 58, 146, 170, 141, 122, 73, 
19, 19, 0, -19, 9, 9, 43, 131, 146, 117, 102, 63, 
9, 14, 4, -12, 2, 9, 39, 122, 141, 107, 97, 58, 
9, 4, -4, -7, 7, 0, 39, 117, 136, 92, 87, 48, 
9, 0, -9, -4, 9, -4, 39, 102, 112, 82, 78, 39, 
14, 0, -14, -7, 14, -7, 34, 92, 97, 68, 63, 29, 
14, -9, -24, -2, 19, -17, 19, 82, 82, 53, 53, 19, 
9, -24, -34, 7, 21, -29, 14, 73, 73, 43, 48, 14, 
4, -29, -34, 12, 19, -31, 19, 68, 68, 34, 43, 9, 
0, -39, -39, 19, 19, -39, 19, 63, 58, 24, 34, 4, 
0, -43, -43, 21, 21, -43, 9, 53, 53, 14, 24, -4, 
-4, -48, -43, 26, 19, -46, 9, 48, 39, 4, 19, -9, 
-4, -58, -53, 31, 24, -56, 9, 43, 34, 0, 19, -9, 
0, -58, -58, 29, 29, -58, 9, 39, 29, -4, 14, -14, 
-4, -63, -58, 34, 26, -61, 4, 34, 24, 0, 9, -14, 
-9, -68, -58, 39, 24, -63, 4, 39, 14, 0, 9, -14, 
-9, -73, -63, 41, 26, -68, 0, 34, 14, -9, 9, -19, 
-14, -78, -63, 46, 24, -70, -4, 24, 19, -19, 0, -24, 
-14, -73, -58, 43, 21, -65, 0, 19, 9, -29, -9, -24, 
-9, -73, -63, 41, 26, -68, 0, 14, 0, -29, -9, -29, 
-9, -82, -73, 46, 31, -78, 0, 9, -4, -29, -14, -34, 
-14, -87, -73, 51, 29, -80, 0, 9, -9, -29, -9, -29, 
-9, -82, -73, 46, 31, -78, -4, 9, -14, -34, -14, -29, 
-9, -82, -73, 46, 31, -78, -4, 9, -19, -39, -19, -34, 
-9, -82, -73, 46, 31, -78, 0, 9, -14, -39, -19, -39, 
-19, -87, -68, 53, 24, -78, 0, 9, -9, -39, -19, -39, 
-19, -87, -68, 53, 24, -78, 0, 4, -9, -43, -19, -39, 
-14, -92, -78, 53, 31, -85, -4, 0, -14, -43, -19, -34, 
-19, -97, -78, 58, 29, -87, -9, 4, -14, -43, -14, -34, 
-24, -102, -78, 63, 26, -90, -4, 4, -19, -43, -19, -43, 
-19, -92, -73, 56, 26, -82, -9, 4, -19, -39, -19, -43, 
-14, -92, -78, 53, 31, -85, -14, 4, -14, -39, -14, -43, 
-14, -92, -78, 53, 31, -85, -19, 4, -19, -39, -14, -34, 
-19, -92, -73, 56, 26, -82, -9, 4, -14, -39, -19, -39, 
-24, -92, -68, 58, 21, -80, 0, 4, -14, -39, -19, -39, 
-24, -97, -73, 61, 24, -85, 4, 0, -24, -43, -19, -39, 
-19, -97, -78, 58, 29, -87, 4, 0, -24, -48, -19, -39, 
-24, -92, -68, 58, 21, -80, 0, 4, -14, -48, -19, -39, 
-34, -87, -53, 61, 9, -70, -4, 0, -14, -48, -29, -39, 
-29, -87, -58, 58, 14, -73, -4, 0, -24, -48, -29, -43, 
-24, -82, -58, 53, 17, -70, -4, 4, -24, -53, -29, -48, 
-19, -78, -58, 48, 19, -68, -4, 4, -19, -53, -29, -48, 
-19, -82, -63, 51, 21, -73, -4, 4, -14, -53, -34, -53, 
-29, -82, -53, 56, 12, -68, -4, 4, -9, -53, -29, -53, 
-29, -82, -53, 56, 12, -68, -9, 4, -9, -48, -24, -48, 
-34, -82, -48, 58, 7, -65, -4, 0, -14, -48, -29, -43, 
-29, -82, -53, 56, 12, -68, -4, -4, -14, -48, -34, -43, 
-19, -82, -63, 51, 21, -73, -9, 0, -19, -53, -34, -48, 
-14, -87, -73, 51, 29, -80, -14, 9, -19, -48, -29, -48, 
-19, -92, -73, 56, 26, -82, -9, 9, -9, -39, -19, -39, 
-19, -92, -73, 56, 26, -82, -4, 4, -4, -39, -19, -39, 
-19, -92, -73, 56, 26, -82, -4, 4, -4, -43, -19, -39, 
-19, -87, -68, 53, 24, -78, -4, 4, -4, -43, -19, -34, 
-19, -82, -63, 51, 21, -73, -4, 4, -9, -43, -19, -34, 
-29, -87, -58, 58, 14, -73, -4, 4, -9, -39, -19, -34, 
-29, -87, -58, 58, 14, -73, -9, 9, -9, -34, -19, -29, 
-19, -82, -63, 51, 21, -73, -14, 9, -9, -34, -14, -29, 
-14, -82, -68, 48, 26, -75, -19, 14, -4, -39, -14, -34, 
-19, -82, -63, 51, 21, -73, -19, 14, -4, -39, -19, -34, 
-19, -82, -63, 51, 21, -73, -14, 9, -4, -39, -14, -34, 
-14, -82, -68, 48, 26, -75, -9, 9, 0, -34, -14, -29, 
-14, -78, -63, 46, 24, -70, -4, 4, -4, -29, -14, -29, 
-19, -78, -58, 48, 19, -68, 0, 9, -9, -29, -14, -29, 
-19, -78, -58, 48, 19, -68, 4, 9, -9, -34, -9, -34, 
-9, -78, -68, 43, 29, -73, 4, 9, -4, -34, -14, -34, 
-9, -78, -68, 43, 29, -73, 0, 14, 0, -34, -19, -39, 
-14, -82, -68, 48, 26, -75, -4, 14, -4, -39, -19, -39, 
-29, -82, -53, 56, 12, -68, -9, 9, -9, -39, -19, -39, 
-29, -78, -48, 53, 9, -63, -4, 14, -4, -34, -19, -34, 
-14, -78, -63, 46, 24, -70, 0, 19, 0, -39, -19, -34, 
-9, -78, -68, 43, 29, -73, 0, 14, -4, -39, -19, -34, 
-14, -78, -63, 46, 24, -70, -4, 14, -4, -34, -14, -29, 
-9, -82, -73, 46, 31, -78, -4, 14, 0, -29, -14, -29, 
-9, -82, -73, 46, 31, -78, -14, 14, -4, -34, -14, -29, 
-9, -87, -78, 48, 34, -82, -14, 14, -4, -39, -14, -24, 
-9, -87, -78, 48, 34, -82, -14, 24, 0, -34, -9, -24, 
-9, -87, -78, 48, 34, -82, -14, 19, 0, -34, -14, -24, 
-19, -92, -73, 56, 26, -82, -9, 14, -4, -34, -9, -24, 
-19, -87, -68, 53, 24, -78, -9, 9, -4, -29, -9, -24, 
-9, -82, -73, 46, 31, -78, -14, 9, -9, -34, -14, -24, 
-4, -82, -78, 43, 36, -80, -14, 14, -14, -39, -14, -24, 
-9, -82, -73, 46, 31, -78, -9, 19, -9, -39, -14, -24, 
-4, -87, -82, 46, 39, -85, -9, 19, -4, -29, -9, -24, 
-9, -92, -82, 51, 36, -87, -9, 24, 4, -24, -9, -24, 
-14, -92, -78, 53, 31, -85, -14, 19, 4, -24, -4, -19, 
-14, -87, -73, 51, 29, -80, -14, 9, -4, -24, -4, -24, 
-14, -92, -78, 53, 31, -85, 0, 9, -4, -29, -14, -29, 
-14, -97, -82, 56, 34, -90, 4, 0, -9, -39, -19, -29, 
-14, -97, -82, 56, 34, -90, 0, 0, -14, -39, -14, -24, 
-14, -97, -82, 56, 34, -90, 0, 14, -4, -29, -4, -19, 
-14, -97, -82, 56, 34, -90, -4, 14, -4, -29, -9, -24, 
-14, -97, -82, 56, 34, -90, -9, 4, -14, -34, -14, -29, 
-14, -97, -82, 56, 34, -90, -9, 4, -9, -39, -19, -29, 
-14, -97, -82, 56, 34, -90, -9, 9, 0, -39, -19, -29, 
-14, -102, -87, 58, 36, -95, -14, 9, 0, -39, -19, -29, 
-14, -97, -82, 56, 34, -90, -24, 4, -9, -34, -19, -29, 
-14, -97, -82, 56, 34, -90, -29, 0, -14, -34, -24, -24, 
-19, -97, -78, 58, 29, -87, -24, 0, -24, -43, -24, -29, 
-19, -102, -82, 61, 31, -92, 0, 0, -24, -43, -24, -34, 
-14, -102, -87, 58, 36, -95, 4, 0, -24, -39, -19, -34, 
-14, -107, -92, 61, 39, -100, -4, 0, -19, -39, -19, -34, 
-19, -102, -82, 61, 31, -92, -9, -4, -24, -43, -24, -39, 
-19, -102, -82, 61, 31, -92, -9, 0, -29, -48, -24, -48, 
-19, -102, -82, 61, 31, -92, -14, -4, -29, -48, -29, -43, 
-14, -102, -87, 58, 36, -95, -14, -4, -29, -53, -34, -43, 
-9, -97, -87, 53, 39, -92, -19, -4, -29, -48, -34, -43, 
-14, -107, -92, 61, 39, -100, -19, -9, -34, -43, -24, -39, 
-19, -117, -97, 68, 39, -107, -9, -4, -29, -39, -19, -34, 
-29, -117, -87, 73, 29, -102, -4, 0, -24, -39, -24, -34, 
-24, -117, -92, 70, 34, -104, -9, -4, -29, -48, -29, -39, 
-14, -112, -97, 63, 41, -104, -19, -9, -39, -53, -29, -39, 
-14, -117, -102, 65, 43, -109, -14, -9, -34, -48, -29, -39, 
-19, -122, -102, 70, 41, -112, -14, -4, -29, -43, -29, -39, 
-19, -117, -97, 68, 39, -107, -14, -4, -34, -43, -29, -39, 
-24, -117, -92, 70, 34, -104, -19, -9, -43, -48, -29, -43, 
-19, -112, -92, 65, 36, -102, -14, -9, -43, -58, -29, -43, 
-14, -112, -97, 63, 41, -104, -19, -9, -34, -53, -34, -43, 
-19, -107, -87, 63, 34, -97, -24, -9, -29, -48, -34, -48, 
-19, -107, -87, 63, 34, -97, -29, -9, -29, -53, -29, -48, 
-19, -107, -87, 63, 34, -97, -19, -14, -39, -58, -34, -48, 
-24, -112, -87, 68, 31, -100, -14, -19, -43, -58, -34, -43, 
-19, -122, -102, 70, 41, -112, -14, -19, -39, -58, -34, -43, 
-14, -117, -102, 65, 43, -109, -14, -9, -39, -53, -34, -43, 
-14, -112, -97, 63, 41, -104, -19, -14, -39, -53, -29, -39, 
-14, -117, -102, 65, 43, -109, -24, -19, -43, -53, -29, -43, 
-24, -122, -97, 73, 36, -109, -24, -14, -39, -58, -39, -48, 
-19, -122, -102, 70, 41, -112, -24, -9, -43, -58, -39, -48, 
-14, -117, -102, 65, 43, -109, -24, -14, -43, -58, -39, -48, 
-14, -112, -97, 63, 41, -104, -14, -14, -39, -63, -34, -48, 
-14, -112, -97, 63, 41, -104, -14, -14, -43, -63, -34, -48, 
-14, -112, -97, 63, 41, -104, -14, -14, -43, -63, -39, -53, 
-14, -112, -97, 63, 41, -104, -14, -19, -43, -63, -39, -53, 
-14, -112, -97, 63, 41, -104, -24, -14, -43, -58, -34, -48, 
-14, -122, -107, 68, 46, -114, -29, -14, -39, -53, -34, -43, 
-29, -131, -102, 80, 36, -117, -19, -14, -39, -58, -39, -48, 
-24, -131, -107, 78, 41, -119, -14, -14, -43, -63, -39, -48, 
-14, -122, -107, 68, 46, -114, -9, -14, -39, -63, -34, -39, 
