study	image	prob_plax_far	prob_plax_plax	prob_plax_laz	prob_psax_az	prob_psax_mv	prob_psax_pap	prob_a2c_lvocc_s	prob_a2c_laocc	prob_a2c	prob_a3c_lvocc_s	prob_a3c_laocc	prob_a3c	prob_a4c_lvocc_s	prob_a4c_laocc	prob_a4c	prob_a5c	prob_other	prob_rvinf	prob_psax_avz	prob_suprasternal	prob_subcostal	prob_plax_lac	prob_psax_apex
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	a4c_lv_zoom_10.jpg.dcm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	plax_av_zoom_2_00.jpg.dcm	0.012	0.013	0.355	0.002	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.036	0.113	0.001	0.03	0.034	0.064	0.143	0.005	0.164	0.024	0.0
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	a2c_lv_zoom_2_16.jpg.dcm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.889	0.0	0.0	0.002	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	a2c_07.jpg.dcm	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.002	0.0	0.01	0.982	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.001	0.0
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	plax_av_zoom_2_06.jpg.dcm	0.002	0.004	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.008	0.0	0.002	0.008	0.003	0.004	0.001	0.936	0.006	0.0
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	rvoutflow_2_01.jpg.dcm	0.001	0.026	0.0	0.958	0.0	0.002	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.001	0.001	0.002	0.001	0.0
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	a4c_inc_depth_14.jpg.dcm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	a4c_lv_zoom_2_17.jpg.dcm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	plax_10.jpg.dcm	0.0	0.797	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.182	0.0
/content/gdrive/My Drive/CardioNexus/echoCV/dicomsample/EchoCV-Test-Labelled	a2c_lv_zoom_03.jpg.dcm	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.845	0.0	0.0	0.149	0.001	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0
